,Date,Province_State,Doses_admin,People_at_least_one_dose,People_fully_vaccinated,Total_additional_doses
374,2020-12-21,New Hampshire,3493,0,0,0
375,2020-12-21,New Jersey,7876,0,0,0
376,2020-12-21,New Mexico,7885,0,0,0
377,2020-12-21,New York,34832,0,0,0
378,2020-12-21,North Carolina,9065,0,0,0
379,2020-12-21,North Dakota,5052,0,0,0
380,2020-12-21,Northern Mariana Islands,99,0,0,0
381,2020-12-21,Ohio,4536,0,0,0
382,2020-12-21,Oklahoma,14780,0,0,0
383,2020-12-21,Oregon,2037,0,0,0
384,2020-12-21,Pennsylvania,21928,0,0,0
385,2020-12-21,Puerto Rico,9502,0,0,0
386,2020-12-21,Rhode Island,2211,0,0,0
387,2020-12-21,South Carolina,16170,0,0,0
388,2020-12-21,South Dakota,7463,0,0,0
389,2020-12-21,Tennessee,4786,0,0,0
390,2020-12-21,Texas,129900,0,0,0
391,2020-12-21,Utah,4057,0,0,0
392,2020-12-21,Vermont,2039,0,0,0
393,2020-12-21,Virgin Islands,113,0,0,0
394,2020-12-21,Virginia,271,0,0,0
395,2020-12-21,Washington,7807,0,0,0
396,2020-12-21,West Virginia,15459,0,0,0
397,2020-12-21,Wisconsin,7084,0,0,0
398,2020-12-21,Wyoming,1555,0,0,0
400,2020-12-22,Alabama,6452,0,0,0
401,2020-12-22,Alaska,5125,0,0,0
402,2020-12-22,American Samoa,0,0,0,0
403,2020-12-22,Arizona,6778,0,0,0
404,2020-12-22,Arkansas,9947,0,0,0
405,2020-12-22,California,70216,0,0,0
406,2020-12-22,Colorado,30945,0,0,0
407,2020-12-22,Connecticut,9230,0,0,0
408,2020-12-22,Delaware,969,0,0,0
409,2020-12-22,District of Columbia,2825,0,0,0
410,2020-12-22,Florida,40139,0,0,0
411,2020-12-22,Georgia,1109,0,0,0
412,2020-12-22,Guam,0,0,0,0
413,2020-12-22,Hawaii,4456,0,0,0
414,2020-12-22,Idaho,0,0,0,0
415,2020-12-22,Illinois,57604,0,0,0
416,2020-12-22,Indiana,12998,0,0,0
417,2020-12-22,Iowa,7031,0,0,0
418,2020-12-22,Kansas,4573,0,0,0
419,2020-12-22,Kentucky,7329,0,0,0
420,2020-12-22,Louisiana,0,0,0,0
421,2020-12-22,Maine,4489,0,0,0
422,2020-12-22,Maryland,4667,0,0,0
423,2020-12-22,Massachusetts,19078,0,0,0
424,2020-12-22,Michigan,5531,0,0,0
425,2020-12-22,Minnesota,3918,0,0,0
426,2020-12-22,Mississippi,2975,0,0,0
